gc 1 @0.006s 2%: 0.11+1.2+0.093 ms clock, 15+0/1.1/1.8+13 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 144 P
gc 29 @4.720s 2%: 0.30+161+0.067 ms clock, 4.8+0.45/416/48+1.0 ms cpu, 1551->1555->868 MB, 1735 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 30 @5.224s 2%: 0.27+123+0.045 ms clock, 4.3+0.42/434/13+0.72 ms cpu, 1551->1554->867 MB, 1737 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 31 @5.694s 2%: 0.28+111+0.042 ms clock, 4.4+0.36/393/45+0.68 ms cpu, 1551->1554->867 MB, 1735 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 32 @6.167s 2%: 0.31+115+0.082 ms clock, 5.0+0.38/413/31+1.3 ms cpu, 1551->1554->867 MB, 1735 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 33 @6.977s 2%: 0.19+82+0.095 ms clock, 3.1+184/319/103+1.5 ms cpu, 1807->1905->1213 MB, 1807 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 34 @7.898s 2%: 0.30+175+0.049 ms clock, 4.8+1.4/436/6.3+0.79 ms cpu, 2233->2237->868 MB, 2427 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 35 @8.376s 2%: 0.36+109+0.052 ms clock, 5.8+2.9/438/0+0.83 ms cpu, 1551->1554->867 MB, 1738 MB goal, 1 MB stacks, 0 MB globals, 16 P
gc 36 @9.101s 2%: 0.32+251+0.069 ms clock, 5.1+1.1/546/79+1.1 ms cpu, 1551->1555->868 MB, 1735 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 37 @9.711s 2%: 0.29+127+0.051 ms clock, 4.7+0.42/411/67+0.82 ms cpu, 1551->1554->867 MB, 1738 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 38 @10.217s 2%: 0.33+190+0.063 ms clock, 5.3+25/423/12+1.0 ms cpu, 1551->1556->869 MB, 1735 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 39 @10.795s 2%: 0.43+121+0.047 ms clock, 6.9+0.74/383/68+0.76 ms cpu, 1551->1554->867 MB, 1738 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 40 @11.318s 2%: 0.35+123+0.068 ms clock, 5.7+0.57/492/44+1.0 ms cpu, 1551->1554->867 MB, 1735 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 41 @11.844s 3%: 0.38+98+0.080 ms clock, 6.1+0.67/391/75+1.2 ms cpu, 1551->1553->866 MB, 1735 MB goal, 0 MB stacks, 0 MB globals, 16 P
